ID,Text,Length
"#38","Do you know why they call him Franky ""Four Fingers"" Doug? Because he makes stupid bets with dangerous people, and when he doesn't pay up, they give him the chop, Doug. And I'm not talking about his foreskin either.","214"
"#587","Come sail your ships around me and burn your bridges down. We make a little history, baby, every time you come around.","118"
"#66","Hello, hello, hello, is there anybody in there? Just nod if you can hear me. Is there anyone home? Come on, come on, out, I hear you're feeling down. I can ease your pain and get you on your feet again. Relax, relax, relax, I need some information first. Just the basic facts, can you show me where it hurts?","308"
"#28","We turn away to face the cold, enduring chill, as the day begs the night for mercy love. The sun so bright it leaves no shadows, only scars, carved into stone on the face of earth. The moon is up and over One Tree Hill we see the sun go down in your eyes.","255"
"#90","Everyone said I was daft to build a castle on a swamp, but I built it all the same, just to show them. It sank into the swamp. So I built a second one. That sank into the swamp. So I built a third. That burned down, fell over, then sank into the swamp. But the fourth one stayed up!","282"
"#649","I must not fear. Fear is the mind killer. Fear is the little death that brings total obliteration. I will face my fear. I will permit it to pass over me and through me. And when my fear is gone I will turn and face fear's path, and only I will remain.","251"
"#6","The creation ends in South Georgia, at the very edge of the sweet earth. Only the sky, widest of the wide, goes on, flatness against flatness. The sky appears so close that, with a long-enough extension ladder, you think you could touch it, and sometimes you do, when clouds descend in the night to set a fine pelt of dew on the grasses, leaving behind white trails of fog and mist.","382"
"#461","For all its apparent strength, the Aztec Empire had vulnerabilities that the Spanish were able to exploit. The tiny Spanish force was able to attract a massive army of some 30,000 Mesoamericans of many different tribes.","219"
"#401","He managed to open the cupboard door with his nose and found the 25-pound bag of low-fart dog biscuits the vet had prescribed for him, which had made him fart more. Even though he knew they made him fart more, he couldn't resist. He ate the entire bag.","252"
"#229","The most precious treasures we have
in life are the images we store in the memory banks of our brains. The
sum of these stored experiences is responsible for our sense of
personal identity and our sense of connectedness to those around
us.","239"
"#431","Radiation could be precisely determined, in principle, if we knew the reflectance of mozzarella and the cardboard in the long-wavelength regions of interest.","157"
"#560","When the green lights came on, pedestrians skirted or jumped across the puddles gathering at the curbs.","103"
"#443","Consider this: Is the pious being loved by the gods because it is pious, or is it pious because it is being loved by the Gods?","126"
"#296","Good games stay within, but at the outer edge, of the player's regime of competence. That is, they feel doable but challenging. This makes them pleasantly frustrating - a flow state for human beings.","199"
"#51","I've seen things you people wouldn't believe. Attack ships on fire off the shoulder of Orion. I watched C-beams glitter in the dark near the Tannhauser gate. All those moments will be lost in time, like tears in rain.","217"
"#72","Ticking away the moments that make up a dull day, you fritter and waste the hours in an off-hand way. Kicking around on a piece of ground in your home town, waiting for someone or something to show you the way.","210"
"#603","Having endured the racial turmoil of the Civil Rights Movement without the overt violent conflict that haunted some of its southern neighbors, Atlanta was a city obsessed with economic progress. Just as editor Henry Grady had looked north for investment and support in the wake of the Civil War, the city's newest generation of boosters saw international dollars as the future for Atlanta.","389"
"#137","Like painting, most software is intended for a human audience. And so hackers, like painters, must have empathy to do really great work. You have to be able to see things from the user's point of view.","201"
"#651","It is by will alone I set my mind in motion. It is by the juice of Sapho that thoughts acquire speed, the lips acquire stains, the stains become a warning. It is by will alone I set my mind in motion.","200"
"#547","I'm so glad you came, I'm so glad you remembered, to see how we're ending our last dance together. Reluctantly, cautiously, but prettier than ever - I really believe that this time it's forever.","194"
"#144","He's got a two day head start on you, which is more than he needs. Brody's got friends in every town and village from here to the Sudan, he speaks a dozen languages, knows every local custom, he'll blend in, disappear, you'll never see him again. With any luck, he's got the grail already.","289"
"#261","Keying text quickly is important, but it is more important to be able to make it look professional. Presenting text is more than just placing one letter after another. Making the text readable involves positioning, style, and size.","231"
"#88","Listen, strange women lyin' in ponds distributin' swords is no basis for a system of government. Supreme executive power derives from a mandate from the masses, not from some farcical aquatic ceremony.","201"
"#224","It's the possibility of having a dream come true that makes life interesting, he thought, as he looked again at the position of the sun, and hurried his pace. He had suddenly remembered that, in Tarifa, there was an old woman who interpreted dreams.","249"
"#426","First, the layer of dough bakes into bread, a low-water-content material with a large number of nonconnecting small air spaces. Second, the tomato paste dehydrates, and third, the mozzarella undergoes a complex series of transitions involving protein denaturation and lipid rearrangement from regular liquid crystal to more disordered states.","342"
"#4","I can feel the heat closing in, feel them out there making their moves, setting up their devil doll stool pigeons, crooning over my spoon and dropper I throw away at Washington Square Station, vault a turnstile and two flights down the iron stairs, catch an uptown A train.","273"
"#132","We sit silently and watch the world around us. This has taken us a lifetime to learn. It seems only the old are able to sit next to one another and not say anything and still feel content. The young, brash and impatient, must always break the silence. It is a waste, for silence is pure.","287"
"#648","I'll miss the sea, but a person needs new experiences. Without change something sleeps inside us, and seldom awakens.","117"
"#268","The typewriter had a problem, though. Try to type quickly on it, and the type bars banged into one another and got stuck. The solution to that problem resulted in the keyboard we know today.","190"
"#550","Remembering you standing quiet in the rain as I ran to your heart to be near. And we kissed as the sky fell in holding you close how I always held close in your fear.","166"
"#419","I know that the idea of raising well-rounded, smarter kids can be daunting. And sadly, no easy formula exists. Kids are as complex, varied, and exciting individuals as you are. The good news is that your child has a natural desire to do well. Your job as parent is to bring out this quality and cherish it until the day your kids leave home, and then some.","356"
"#693","The hectic speed, and the brevity of the lines in the thread, plus the feeling that everyone is talking at once, at counter-purposes, deter her.","144"
"#25","Let's sort the buyers from the spiers, the needy from the greedy, and those who trust me from the ones who don't, because if you can't see value here today, you're not up here shopping. You're up here shoplifting. Anyone like jewelry? Look at that one there. Handmade in Italy, hand-stolen in Stepney. It's as long as my arm. Here - one price - ten pound.","356"
"#509","I've heard there was a secret chord that David played, and it pleased the Lord, but you don't really care for music, do you? It goes like this: the fourth, the fifth, the minor fall, the major lift. The baffled king composing hallelujah.","237"
"#543","She looked terrific. I said to myself, ""Maybe she's going to be in the Spanish class - that'll be great!"" But no, she walked into the Portuguese class. So I figured, what the hell - I might as well learn Portuguese.","225"
"#467","The theory of music emphasizes the elements from which music is composed. One such structure is the melody, which is a grouping of musical notes that combine into a basic, but immensely flexible structure. Another is the chord, which is two or more notes played simultaneously to create a harmony.","297"
"#554","Because most of the 150,000 tons of gold ever mined is still in circulation, the gold on my finger could have been mined in Persia six thousand years ago, or worn by Cleopatra.","176"
"#472","In the late 1960s, a growing number of people became concerned about the growing problems of pollution and the destruction of natural habitats. This movement led to the formation of groups like the Environmental Protection Agency (EPA). The primary goal of the environmental movement as a whole is to make sure that the environment is safe and intact for future generations to enjoy.","383"
"#5","Thirdly, however, these wars could now be waged with the new technology of capitalism. Since this technology, through the camera and the telegraph, also transformed the reporting of war in the press, it now brought its reality more vividly before the literate public.","267"
"#588","Your face has fallen sad now, for you know the time is nigh. But when I must remove your wings and you, you must try to fly. Come sail your ships around me and burn your bridges down. We make a little history, baby, every time you come around.","243"
"#67","There is no pain, you are receding.
A distant ship smoke on the horizon. You are only coming through in
waves. Your lips move but I can't hear what you're saying. When I was
a child, I had a fever. My hands felt just like two balloons. Now I've
got that feeling once again. I can't explain you will not understand.
This is not how I am.","336"
"#84","And today, Lady Liberty is under attack from the cable channels, the internet blogs, and the Hollywood celebritocracy, out there spewing ""facts"" like so many locusts descending on America's crop of ripe, tender values. And as any farmer or biblical scholar will tell you, locusts are damn hard to get rid of.","308"
"#56","I'm a hopeless dancer, but this looks like you just screw in a light bulb with one hand and pat the dog with the other. Watch yourself, Darcy, he's about to transform into the Indian MC Hammer!","193"
"#622","The great edifice of variety and choice that is an American supermarket turns out to rest on a remarkably narrow biological foundation comprised of a tiny group of plants that is dominated by a single species: Zea mays, the giant tropical grass most Americans know as corn.","273"
"#591","Had dreams. Two of 'em. Both had my father. It's peculiar. I'm older now'n he ever was by twenty years. So in a sense he's the younger man. Anyway, first one I don't remember so well but it was about money and I think I lost it. The second one, it was like we was both back in older times and I was on horseback goin' through the mountains of a night. Goin' through this pass in the mountains. It was cold and snowin, hard ridin. Hard country.","443"
"#373","He was rough around the edges. He'd been to school, but never finished. He'd been to jail, but never prison. And it was his first day off in forever, man. The festival seemed like a pretty good plan: cruise some chicks and get a suntan. And his friend gave him four, but said only take one. But then he got bored and he ended up taking all four, so now my man ain't that bored anyways. The paramedics found him, he was shaking on the side of the stage.","452"
"#305","I hope that whoever you are, you escape this place. I hope that the world turns and that things get better. But what I hope most of all is that you understand what I mean when I tell you that even though I do not know you, and even though I may never meet you, laugh with you, cry with you, or kiss you, I love you.","315"
"#349","My friend, I shall be pedagogic, and say you ought to start with Logic. Even eating and drinking, so easy and free, can only be done with One, Two, Three.","154"
"#39","It turned out that the sweet-talking, tattoo-sporting pikey was a gypsy bare-knuckle boxing champion. Which makes him harder than a coffin nail. Right now, that's the last thing on Tommy's mind. If Gorgeous doesn't wake up in the next few minutes, Tommy knows he'll be buried with him.","285"
"#544","I'm so glad you came, I'm so glad you remembered, to see how we're ending our last dance together. Expectant, too punctual, but prettier than ever, I really believe that this time it's forever.","193"
"#335","During the battle, Rebel spies managed to steal secret plans to the Empire's ultimate weapon. Pursued by the Empire's sinister agents, Princess Leia races home aboard her starship, custodian of the stolen plans that can save her people and restore freedom to the galaxy.","270"
"#91","King, eh? Very nice. And how'd you get that, eh? By exploiting the workers. By hanging on to outdated imperialist dogma which perpetuates the economic and social differences in our society.","189"
"#400","When Betty and Billy fell asleep, he walked down to the kitchen to see if there was anything around to eat. He managed to open the cupboard door with his nose and found the 25-pound bag of low-fart dog biscuits the vet had prescribed for him, which had made him fart more. Even though he knew they made him fart more, he couldn't resist. He ate the entire bag.","360"
"#12","What good's a reward if you ain't around to use it? Besides, attacking that battle station ain't my idea of courage. It's more like... suicide.","143"
"#695","I've been thinking lots about my life and how quick I'd wash it down the drain. Past tense, the future, nothing matters now. I act on my own and I'm to blame. Living's a wicked dream, where things turn out all wrong. We're all so weak, no matter how strong.","257"
"#282","I'd just like to point out that you were given every opportunity to succeed. There was even going to be a party for you. A big party that all your friends were invited to. I invited your best friend the companion cube. Of course, he couldn't come because you murdered him. All your other friends couldn't come either because you don't have any other friends.","358"
"#183","The result has been the emergence of what some call the ""winner-take-all"" economy, in which a rising tide doesn't necessarily lift all boats. Over the past decade, we've seen strong economic growth but anemic job growth; big leaps in productivity but flat-lining wages; hefty corporate profits, but a shrinking share of these profits going to workers.","361"
"#602","And I don't believe in the existence of angels but looking at you I wonder if that's true. But if I did I would summon them together, and ask them to watch over you.","165"
"#243","Whether you're a student, secretary, office administrator, manager, computer programmer, or engineer, typing is an invaluable skill. It's a skill that can open doors and enhance your career opportunities.","204"
"#73","Ticking away the moments that make up a dull day, you fritter and waste the hours in an off-hand way. Kicking around on a piece of ground in your home town, waiting for someone or something to show you the way. Tired of lying in the sunshine, staying home to watch the rain. You are young and life is long, and there is time to kill today. And then, one day you find, ten years have got behind you, no one told you when to run, you missed the starting gun.","456"
"#480","Although the United Nations does not have the power to enforce decisions or compel nations to take military action, the ability to compel member nations to impose economic sanctions against countries guilty of violating security orders gives it significant power in the world stage.","282"
"#663","If the driver would only slow down, the car would actually go faster. It reminds me of the saying, ""never confuse movement for action.""","135"
"#199","The only message I got was from the company that holds my student loan, Sallie Mae.  Sallie Mae sounds like a naive and barefoot hillbilly girl but in fact they are a ruthless and aggressive conglomeration of bullies located in a tall brick building somewhere in Kansas.","270"
"#30","We turn away to face the cold, enduring chill, as the day begs the night for mercy love. The sun so bright it leaves no shadows, only scars, carved into stone on the face of earth. The moon is up and over One Tree Hill we see the sun go down in your eyes.","255"
"#365","Most popular song lyrics have two sections - a verse and a bridge, where the bridge offers a contrast to the verse but is not the place where the song is summarized.","165"
"#350","Yet the web of thought has no such creases and is more like a weaver's masterpieces; one step, a thousand threads arise, hither and thither shoots each shuttle, the threads flow on, unseen and subtle, each blow effects a thousand ties.","235"
"#399","When considering the cultural significance of this intriguing interlude, we might begin by asking why the pregnant man image has been a source of continued fascination throughout the centuries.","193"
"#169","I thought maybe I'd run to the end of town. And when I got there, I thought maybe I'd just run across Greenbow County. And I figured, since I run this far, maybe I'd just run across the great state of Alabama.","209"
"#525","After the grapes are crushed, yeasts (tiny one-celled organisms that exist naturally in the vineyard and, therefore, on the grapes) come into contact with the sugar in the grapes' juice and gradually convert that sugar into alcohol.","232"
"#500","It may seem quite novelistic to you, and I am willing to agree, but only on the condition that you refrain from reading such notions as ""fictive"", ""fabricated"", adn ""untrue to life"" in the word ""novelistic"". Because human lives are composed in precisely such a fashion.","309"
"#181","I'd been walking for hours and, as usual, I'd lost track of where I was, when I suddenly realized I'd reached the city limits. I immediately felt happy and, without hesitation, passed beyond the barrier and found myself walking between cultivated fields and meadows. I didn't feel tired at all. On the contrary, every joint in me was as relaxed as if a load had been lifted from my shoulders.","392"
"#61","I was hugely impressed. Kirk, I mean
Shatner, was the ultimate example of a man who knew what he didn't
know, was perfectly willing to admit it, and didn't want to leave
until he understood. That's heroic to me.","211"
"#608","Historian James C. Cobb has described southern identity as ""not a story of continuity versus change, but continuity within change."" Grits and fried chicken won't disappear, but perhaps future southerners will enjoy them with a side of rice noodles or enchilada sauce.","277"
"#652","I've flown seven million miles. And I've been waiting on people almost 20 years. The best job I could get after my bust was Cabo Air, which is the worst job you can get in this industry. I make about sixteen thousand, with retirement benefits that ain't worth a damn. And now with this arrest hanging over my head, I'm scared. If I lose my job I gotta start all over again, but I got nothing to start over with.","411"
"#274","Other keyboard layouts have been created since, but the original continues to thrive. It is a telling demonstration of the power of inertia and the reward of being first.","170"
"#492","There's a hole in the world like a great black pit. And the vermin of the world inhabit it. And its morals aren't worth what a pig could spit. And it goes by the name of London.","177"
"#113","""This man right here,"" McGuiness said, pointing at Kenna, ""he's going to change the world.""  That was his instinctive feeling, and the manager of a band like U2 is a man who knows music. But the people whose world Kenna was supposed to be changing, it seemed, couldn't disagree more.","303"
"#641","This business is filled to the brim with unrealistic people who thought their bods aged like wine. If you mean it turns to vinegar, it does. If you mean it gets better with age, it don't.","187"
"#625","Corn is what feeds the steer that becomes the steak. Corn feeds the chicken and the pig, the turkey and the lamb, the catfish and the tilapia and, increasingly, even the salmon, a carnivore by nature that the fish farmers are reengineering to tolerate corn. The eggs are made of corn. The milk and cheese and yogurt, which once came from dairy cows that grazed on grass, now typically come from cows that spend their working lives indoors tethered to machines, eating corn.","473"
"#157","The brain can be a tool. But when you can't stop thinking of that math problem or phone number, or when troubling thoughts and memories arise without your intent, it's not your brain working, but your mind wandering. Then the mind controls you.","244"
"#364","Most popular song lyrics have two sections - a verse and a bridge, where the bridge offers a contrast to the verse but is not the place where the song is summarized - or a verse and a chorus.  A chorus is the high-point of a lyric's energy as well as the music's energy.","270"
"#686","Never give up, no matter how far behind you are, no matter how unlikely it seems you will catch your competitor in front of you.","128"
"#664","The less you do with the controls, the less chance of error. Steer, shift, and use the pedals smoothly, and with finesse - not with blinding speed and brute force. The slower you move, the faster the car moves.","210"
"#221","Let me get this straight. You think that your client, one of the wealthiest, most powerful men in the world, is secretly a vigilante who spends his nights beating criminals to a pulp with his bare hands? And your plan is to blackmail this person?","246"
"#43","Oh bliss! Bliss and heaven! Oh, it was gorgeousness and gorgeousity made flesh. It was like a bird of rarest-spun heaven metal or like silvery wine flowing in a spaceship, gravity all nonsense now. As I slooshied, I knew such lovely pictures!","242"
"#129","They had been given a sign - a powerful, lucid sign - that urban herding and its concomitant technologies are not the proper way to partake of this planet's hospitality. (Actually, there are countless ways to live upon this tremorous sphere in mirth and good health, and probably only one way - the industrialized, urbanized, herding way - to live here stupidly, and man has hit upon that one wrong way.)","404"
"#636","While it may hold true that the final few seconds of a bike race are fastest and apparently chaotic, at 70 kph and 200 heartbeats per minute, there's simply no time for anxiety.","177"
"#156","Imagine a vast sheet of paper on which straight Lines, Triangles, Squares, Pentagons, Hexagons, and other figures, instead of remaining fixed in their places, move freely about, on or in the surface, but without the power of rising above or sinking below it, very much like shadows - only hard and with luminous edges - and you will then have a pretty correct notion of my country and countrymen.","396"
"#338","Ever since I was a child, folks have thought they had me pegged, because of the way I am, the way I talk. And they're always wrong.","131"
"#1","Geometry sets out from certain conceptions such as ""plane,"" ""point,"" and ""straight line,"" with which we are able to associate more or less definite ideas, and from certain simple propositions (axioms) which, in virtue of these ideas, we are inclined to accept as ""true."" Then, on the basis of a logical process, the justification of which we feel ourselves compelled to admit, all remaining propositions are shown to follow from those axioms, i.e. they are proven.","464"
"#21","Hey Mr. Tambourine Man, play a song for me, I'm not sleepy and there is no place I'm going to; Hey Mr. Tambourine Man, play a song for me, in the jingle jangle morning I'll come followin' you.","192"
"#447","We go waiting for the stars to come showering down. From Moscow to Mars, universe falling down. You got to look real hard there's a fiery star hidden out there somewhere. Not the satellite of love but a laser shooting out its shiny tongue there.","245"
"#458","The term ""barbarian"" was created by the Greeks; it was originally used to denote any foreigner. Since then it has gained a more negative connotation, and it is commonly applied to civilizations deemed ""inferior"" to one's own.","245"
"#11","Kid, I've flown from one side of this galaxy to the other, and I've seen a lot of strange stuff. But I've never seen anything to make me believe that there's one all-powerful Force controlling everything. There's no mystical energy field that controls MY destiny.","263"
"#634","Danger is a topic you're often asked about as a sprinter. The common perception is that the final 200 meters of a Tour stage are the most dangerous and the most frightening. That might be half right, but while it may hold true that the final few seconds of a bike race are fastest and apparently chaotic, at 70 kph and 200 heartbeats per minute, there's simply no time for anxiety. Adrenaline, yes, Instinct, sure. But fear, no.","428"
"#439","The time has come for man to set himself a goal. The time has come for man to plant the seed of his highest hope. His soil is still rich enough. But one day this soil will be poor and domesticated, and no tall tree will be able to grow in it. Alas, the time is coming when man will no longer shoot the arrow of his longing beyond man, and the string of his bow will have forgotten how to whir.","393"
"#306","I was shaking like a leaf, so without thinking I lit up a cigarette on the airplane to calm my nerves. I was trembling, I was very emotional and that's when all the rest of it happened. It's very regrettable. Now, I don't want to kick up a fuss, press charges, contact the British embassy. I'd rather not pursue those channels, that's not my style. I'm not that sort of a bloke.","378"
"#463","The basic concept is simple: a satellite in geosynchronous orbit is connected by cable to a stationary or mobile platform somewhere on Earth's equator. An elevator would ride up and down the cable at a fraction of present costs. Many sane and sober people believe that a space elevator will be constructed within this century.","326"
"#161","Life is not suffering; it's just that you will suffer it, rather than enjoy it, until you let go of your mind's attachments and just go for the ride freely, no matter what happens.","180"
"#50","I don't know why he saved my life. Maybe in those last moments he loved life more than he ever had before. Not just his life, anybody's life, my life. All he'd wanted were the same answers the rest of us want. Where did I come from? Where am I going? How long have I got?","271"
"#318","The beginner writes just twenty pieces. The professional writes three times what's needed, rewrites, discards, rewrites some more, then finally settles on the twenty which work best for that specific audience.","210"
"#552","One scientist I met recently told me he reckoned that the average household in Europe or North America has so many devices and such a variety of food and clothing that to produce the same lifestyle in Roman times would have required six thousand slaves.","253"
"#167","Who has a safety deposit box full of money and six passports and a gun? Who has a bank account number in their hip? I come in here, and the first thing I'm doing is I'm catching the sightlines and looking for an exit.","217"
"#556","This was the most delicious meal he'd had in recent years, and he picked up the shrimp and scallops one after another and swallowed them as if they did not require chewing. The snow peas were crisp, the bamboo shoots crunchy, and the portabella mushrooms succulent, perfectly done.","281"
"#486","To an outsider's ear it sounds absurdly wild and ridiculous to speak of the vocation of a thief. However, I venture to assure you t hat this vocation is a reality.","163"
"#320","One essential rule: make sure the joke is the last possible thought, and don't add other words to the sentences after the joke. If you do, the audience will think that your take-off was only a setup for a bigger laugh coming up.","228"
"#534","Use the power of your word in the direction of truth and love.","62"
"#441","The time has come for man to plant the seed of his highest hope. His soil is still rich enough. But one day this soil will be poor and domesticated, and no tall tree will be able to grow in it.","193"
"#470","As civilizations grew, humans spread out across the face of the planet, taking what they needed from the land and producing more and more waste materials with little regard for the future.","188"
"#471","For centuries, human society has taken the gifts of nature for granted. As civilizations grew, humans spread out across the face of the planet, taking what they needed from the land and producing more and more waste materials with little regard for the future.","260"
"#545","But older than me now, more constant, more real, and the fur, and the mouth, and the innocence turned to hair and contentment that hangs in abasement - a woman now standing where once there was only a girl.","206"
"#564","There's a piece of Maria in every song that I sing. And the price of a memory is the memory of the sorrow it brings.","116"
"#683","Never give up, no matter how far behind you are, no matter how unlikely it seems you will catch your competitor in front of you. Keep pushing until the checkered flag falls. How many times have you seen the leader of a race have a mechanical problem with only a few laps to go? You will never be able to take advantage of their problems if you are not close. You have to be close to take advantage of luck.","406"
"#319","Remember that humor is written backwards. That means you first find the cliche you want to work on, then build a story around it.","129"
"#701","Focus your attention on the Now and tell me what problem you have at this moment. I am not getting any answer because it is impossible to have a problem when your attention is fully in the Now.","193"
"#241","For centuries, the battle of
morality was fought between those who claimed that your life belongs
to God and those who claimed that it belongs to your neighbors. And no
one came to say that your life belongs to you and that the good is to
live it.","247"
"#139","Popularity is only partially about individual attractiveness. It's much more about alliances. To become more popular, you need to be constantly doing things that bring you close to other popular people, and nothing brings people closer than a common enemy.","256"
